agent,seed,episode,timestep,reward
DQN (ours),52,735,14028,24.3538
DQN (ours),52,736,14028,21.5931
DQN (ours),52,737,14042,21.7382
DQN (ours),52,738,14042,21.9264
DQN (ours),52,739,14098,12.3630
DQN (ours),52,740,14098,22.1729
DQN (ours),52,741,14126,20.6883
DQN (ours),52,742,14140,21.1936
DQN (ours),52,743,14182,21.1852
DQN (ours),52,744,14224,22.9580
DQN (ours),52,745,14336,21.3179
DQN (ours),52,746,14350,18.1431
DQN (ours),52,747,14378,21.1254
DQN (ours),52,748,14434,21.0593
DQN (ours),52,749,14448,23.3849
DQN (ours),52,750,14448,20.8977
DQN (ours),52,751,14462,21.3555
DQN (ours),52,752,14462,21.2748
DQN (ours),52,753,14518,21.7157
DQN (ours),52,754,14518,24.3851
DQN (ours),52,755,14546,20.9275
DQN (ours),52,756,14546,18.3218
DQN (ours),52,757,14560,22.4085
DQN (ours),52,758,14602,2.4012
DQN (ours),52,759,14602,20.8755
DQN (ours),52,760,14756,22.2771
DQN (ours),52,761,14770,20.5739
DQN (ours),52,762,14798,22.1275
DQN (ours),52,763,14854,21.5014
DQN (ours),52,764,14868,22.4725
DQN (ours),52,765,14868,20.8542
DQN (ours),52,766,14882,23.0345
DQN (ours),52,767,14882,22.7895
DQN (ours),52,768,14938,21.8089
DQN (ours),52,769,14938,24.2212
DQN (ours),52,770,14966,22.5991
DQN (ours),52,771,14980,22.2673
DQN (ours),52,772,15022,22.5415
DQN (ours),52,773,15022,9.3692
DQN (ours),52,774,15022,21.6386
DQN (ours),52,775,15064,1.9602
DQN (ours),52,776,15078,7.8851
DQN (ours),52,777,15134,19.6090
DQN (ours),52,778,15134,13.6502
DQN (ours),52,779,15148,15.0933
DQN (ours),52,780,15176,24.4704
DQN (ours),52,781,15218,20.7154
DQN (ours),52,782,15260,6.1227
DQN (ours),52,783,15274,24.3279
DQN (ours),52,784,15302,8.9699
DQN (ours),52,785,15302,24.5989
DQN (ours),52,786,15358,23.5931
DQN (ours),52,787,15358,4.7866
DQN (ours),52,788,15386,24.5674
DQN (ours),52,789,15400,20.5739
DQN (ours),52,790,15428,19.0898
DQN (ours),52,791,15442,24.7327
DQN (ours),52,792,15442,22.0401
DQN (ours),52,793,15442,21.2273
DQN (ours),52,794,15442,10.2926
DQN (ours),52,795,15456,15.2210
DQN (ours),52,796,15484,7.1966
DQN (ours),52,797,15512,10.8922
DQN (ours),52,798,15568,20.6910
DQN (ours),52,799,15610,13.5641
DQN (ours),52,800,15610,14.3964
DQN (ours),52,801,15638,17.8875
DQN (ours),52,802,15638,22.3911
DQN (ours),52,803,15666,10.6125
DQN (ours),52,804,15694,14.0078
DQN (ours),52,805,15792,15.8223
DQN (ours),52,806,15820,19.0032
DQN (ours),52,807,15820,23.3115
DQN (ours),52,808,15834,14.9846
DQN (ours),52,809,15848,22.8750
DQN (ours),52,810,15862,3.2045
DQN (ours),52,811,15862,20.8103
DQN (ours),52,812,15862,24.2155
DQN (ours),52,813,15876,24.5021
DQN (ours),52,814,15918,10.8239
DQN (ours),52,815,15932,12.3639
DQN (ours),52,816,15960,1.6023
DQN (ours),52,817,16002,8.3585
DQN (ours),52,818,16016,12.2529
DQN (ours),52,819,16030,22.6150
DQN (ours),52,820,16030,22.2009
DQN (ours),52,821,16044,9.0004
DQN (ours),52,822,16058,21.3613
DQN (ours),52,823,16058,22.3708
DQN (ours),52,824,16240,22.8721
DQN (ours),52,825,16254,20.8932
DQN (ours),52,826,16268,24.2998
DQN (ours),52,827,16282,21.3174
DQN (ours),52,828,16282,22.4045
DQN (ours),52,829,16352,18.9466
DQN (ours),52,830,16352,20.8125
DQN (ours),52,831,16366,18.4945
DQN (ours),52,832,16380,24.4599
DQN (ours),52,833,16436,20.5716
DQN (ours),52,834,16436,7.8513
DQN (ours),52,835,16450,22.3860
DQN (ours),52,836,16464,20.8050
DQN (ours),52,837,16478,20.8050
DQN (ours),52,838,16478,23.1439
DQN (ours),52,839,16576,11.5233
DQN (ours),52,840,16660,21.4678
DQN (ours),52,841,16674,22.1082
DQN (ours),52,842,16702,21.8803
DQN (ours),52,843,16702,22.7036
DQN (ours),52,844,16716,8.2069
DQN (ours),52,845,16744,15.6864
DQN (ours),52,846,16758,19.9774
DQN (ours),52,847,16772,21.1519
DQN (ours),52,848,16772,21.2418
DQN (ours),52,849,16814,17.7216
DQN (ours),52,850,16814,5.8007
DQN (ours),52,851,16856,23.1850
DQN (ours),52,852,16856,21.9938
DQN (ours),52,853,16870,23.9824
DQN (ours),52,854,16898,21.3977
DQN (ours),52,855,16912,2.3985
DQN (ours),52,856,16926,3.1997
DQN (ours),52,857,16954,16.8828
DQN (ours),52,858,17094,21.9098
DQN (ours),52,859,17122,11.9865
DQN (ours),52,860,17122,21.7031
DQN (ours),52,861,17136,20.9694
DQN (ours),52,862,17164,21.5214
DQN (ours),52,863,17178,22.0282
DQN (ours),52,864,17192,23.8925
DQN (ours),52,865,17192,24.5731
DQN (ours),52,866,17234,20.8841
DQN (ours),52,867,17234,23.8998
DQN (ours),52,868,17290,22.8887
DQN (ours),52,869,17318,22.5975
DQN (ours),52,870,17332,20.6910
DQN (ours),52,871,17346,7.4943
DQN (ours),52,872,17374,21.2134
DQN (ours),52,873,17472,8.2487
DQN (ours),52,874,17514,21.7528
DQN (ours),52,875,17542,24.5713
DQN (ours),52,876,17542,21.3170
DQN (ours),52,877,17556,21.3770
DQN (ours),52,878,17584,21.0818
DQN (ours),52,879,17598,21.0035
DQN (ours),52,880,17598,13.2788
DQN (ours),52,881,17612,22.8235
DQN (ours),52,882,17654,22.4494
DQN (ours),52,883,17654,21.6279
DQN (ours),52,884,17710,21.1761
DQN (ours),52,885,17752,21.5486
DQN (ours),52,886,17766,22.7452
DQN (ours),52,887,17892,23.0691
DQN (ours),52,888,17934,20.5739
DQN (ours),52,889,17962,23.0363
DQN (ours),52,890,17962,22.3547
DQN (ours),52,891,17976,22.0213
DQN (ours),52,892,18004,21.5628
DQN (ours),52,893,18018,21.1217
DQN (ours),52,894,18018,22.2256
DQN (ours),52,895,18032,22.1977
DQN (ours),52,896,18074,22.0795
DQN (ours),52,897,18074,24.1710
DQN (ours),52,898,18130,22.5900
DQN (ours),52,899,18172,21.2841
DQN (ours),52,900,18186,21.3545
DQN (ours),52,901,18228,12.1281
DQN (ours),52,902,18242,15.2168
DQN (ours),52,903,18312,20.7705
DQN (ours),52,904,18326,12.5092
DQN (ours),52,905,18354,22.2115
DQN (ours),52,906,18382,21.3732
DQN (ours),52,907,18382,21.5896
DQN (ours),52,908,18438,20.6883
DQN (ours),52,909,18438,20.4545
DQN (ours),52,910,18452,20.8521
DQN (ours),52,911,18466,19.7969
DQN (ours),52,912,18550,21.8429
DQN (ours),52,913,18564,10.8123
DQN (ours),52,914,18592,22.5926
DQN (ours),52,915,18606,20.7375
DQN (ours),52,916,18648,23.0621
DQN (ours),52,917,18662,22.4464
DQN (ours),52,918,18732,21.7578
DQN (ours),52,919,18732,3.1979
DQN (ours),52,920,18746,22.0427
DQN (ours),52,921,18774,22.5181
DQN (ours),52,922,18802,23.2627
DQN (ours),52,923,18858,21.5160
DQN (ours),52,924,18858,22.3146
DQN (ours),52,925,18872,22.4655
DQN (ours),52,926,18886,22.6611
DQN (ours),52,927,18914,18.1035
DQN (ours),52,928,18956,20.9523
DQN (ours),52,929,18998,22.2598
DQN (ours),52,930,19026,23.0210
DQN (ours),52,931,19054,11.1185
DQN (ours),52,932,19068,24.6517
DQN (ours),52,933,19082,10.0080
DQN (ours),52,934,19124,20.8026
DQN (ours),52,935,19152,24.1024
DQN (ours),52,936,19152,21.7578
DQN (ours),52,937,19194,21.7100
DQN (ours),52,938,19222,23.0227
DQN (ours),52,939,19236,10.4672
DQN (ours),52,940,19278,20.6909
DQN (ours),52,941,19292,24.3727
DQN (ours),52,942,19334,24.2320
DQN (ours),52,943,19362,3.1970
DQN (ours),52,944,19362,9.5982
DQN (ours),52,945,19376,24.5382
DQN (ours),52,946,19418,21.5196
DQN (ours),52,947,19446,16.4403
DQN (ours),52,948,19460,20.7522
DQN (ours),52,949,19474,11.8697
DQN (ours),52,950,19488,21.3611
DQN (ours),52,951,19502,24.5010
DQN (ours),52,952,19572,23.9427
DQN (ours),52,953,19572,21.3918
DQN (ours),52,954,19614,15.1691
DQN (ours),52,955,19628,9.7953
DQN (ours),52,956,19642,9.2128
DQN (ours),52,957,19642,23.5318
DQN (ours),52,958,19698,12.9024
DQN (ours),52,959,19698,22.8996
DQN (ours),52,960,19726,4.0057
DQN (ours),52,961,19782,23.2774
DQN (ours),52,962,19782,24.1471
DQN (ours),52,963,19796,22.1261
DQN (ours),52,964,19838,25.9643
DQN (ours),52,965,19852,3.5558
DQN (ours),52,966,19908,21.8815
DQN (ours),52,967,19922,15.3943
DQN (ours),52,968,19922,21.9276
DQN (ours),52,969,19992,12.1514
DQN (ours),52,970,19992,21.3551
DQN (ours),52,971,19992,22.0305
DQN (ours),52,972,20034,22.5461
DQN (ours),52,973,20048,21.1371
DQN (ours),52,974,20076,13.2753
DQN (ours),52,975,20118,21.3069
DQN (ours),52,976,20118,24.3001
DQN (ours),52,977,20146,22.6657
DQN (ours),52,978,20174,14.8103
DQN (ours),52,979,20216,22.2168
DQN (ours),52,980,20230,18.0092
DQN (ours),52,981,20258,15.2364
DQN (ours),52,982,20272,23.5685
DQN (ours),52,983,20342,22.8226
DQN (ours),52,984,20412,13.8006
DQN (ours),52,985,20412,21.6931
DQN (ours),52,986,20412,22.6705
DQN (ours),52,987,20426,21.6996
DQN (ours),52,988,20468,21.9657
DQN (ours),52,989,20482,20.2081
DQN (ours),52,990,20496,22.3523
DQN (ours),52,991,20538,21.0032
DQN (ours),52,992,20538,21.0149
DQN (ours),52,993,20622,9.3928
DQN (ours),52,994,20636,21.0179
DQN (ours),52,995,20650,21.8714
DQN (ours),52,996,20678,21.3988
DQN (ours),52,997,20692,24.8086
DQN (ours),52,998,20762,21.0869
DQN (ours),52,999,20832,24.5502
DQN (ours),52,1000,20832,21.7571
DQN (ours),52,1001,20832,21.3906
DQN (ours),52,1002,20846,4.0035
DQN (ours),52,1003,20846,22.0729
DQN (ours),52,1004,20888,2.4012
DQN (ours),52,1005,20902,23.0696
DQN (ours),52,1006,20902,14.3738
DQN (ours),52,1007,20916,21.8329
DQN (ours),52,1008,20958,21.5912
DQN (ours),52,1009,20958,25.4698
DQN (ours),52,1010,21014,17.4970
DQN (ours),52,1011,21028,3.7563
DQN (ours),52,1012,21042,21.3594
DQN (ours),52,1013,21056,20.8125
DQN (ours),52,1014,21112,21.2139
DQN (ours),52,1015,21238,9.8207
DQN (ours),52,1016,21252,24.1805
DQN (ours),52,1017,21252,23.8248
DQN (ours),52,1018,21266,25.0070
DQN (ours),52,1019,21266,21.0786
DQN (ours),52,1020,21308,22.2367
DQN (ours),52,1021,21322,20.7737
DQN (ours),52,1022,21322,22.0455
DQN (ours),52,1023,21336,20.5716
DQN (ours),52,1024,21378,23.5874
DQN (ours),52,1025,21434,22.2351
DQN (ours),52,1026,21448,24.3351
DQN (ours),52,1027,21476,24.1649
DQN (ours),52,1028,21532,23.9482
DQN (ours),52,1029,21574,20.6854
DQN (ours),52,1030,21658,21.4314
DQN (ours),52,1031,21672,22.0757
DQN (ours),52,1032,21686,23.7943
DQN (ours),52,1033,21686,22.3771
DQN (ours),52,1034,21728,21.6186
DQN (ours),52,1035,21742,21.0552
DQN (ours),52,1036,21742,20.4545
DQN (ours),52,1037,21756,22.1966
DQN (ours),52,1038,21798,21.6421
DQN (ours),52,1039,21854,20.9791
DQN (ours),52,1040,21868,9.1421
DQN (ours),52,1041,21868,22.0307
DQN (ours),52,1042,21896,22.3502
DQN (ours),52,1043,21952,21.7194
DQN (ours),52,1044,21994,21.6224
DQN (ours),52,1045,22078,22.0268
DQN (ours),52,1046,22092,21.6835
DQN (ours),52,1047,22106,21.2777
DQN (ours),52,1048,22148,21.7648
DQN (ours),52,1049,22162,21.9148
DQN (ours),52,1050,22162,22.6926
DQN (ours),52,1051,22176,21.4070
DQN (ours),52,1052,22218,21.8418
DQN (ours),52,1053,22274,2.3975
DQN (ours),52,1054,22274,20.8490
DQN (ours),52,1055,22288,20.4545
DQN (ours),52,1056,22288,21.3320
DQN (ours),52,1057,22316,22.0705
DQN (ours),52,1058,22372,22.6590
DQN (ours),52,1059,22414,23.6251
DQN (ours),52,1060,22428,16.1577
DQN (ours),52,1061,22498,21.9091
DQN (ours),52,1062,22512,21.4485
DQN (ours),52,1063,22540,14.2901
DQN (ours),52,1064,22554,22.0588
DQN (ours),52,1065,22568,21.6740
DQN (ours),52,1066,22582,21.1796
DQN (ours),52,1067,22596,21.6010
DQN (ours),52,1068,22596,1.5974
DQN (ours),52,1069,22694,22.4407
DQN (ours),52,1070,22708,21.0834
DQN (ours),52,1071,22708,21.2251
DQN (ours),52,1072,22736,21.2488
DQN (ours),52,1073,22764,14.8555
DQN (ours),52,1074,22792,22.3156
DQN (ours),52,1075,22834,21.2482
DQN (ours),52,1076,22848,23.4859
DQN (ours),52,1077,22932,24.6553
DQN (ours),52,1078,22960,22.1941
DQN (ours),52,1079,22988,21.4384
DQN (ours),52,1080,23002,21.6444
DQN (ours),52,1081,23016,21.9577
DQN (ours),52,1082,23016,22.6406
DQN (ours),52,1083,23058,1.5982
DQN (ours),52,1084,23086,19.6999
DQN (ours),52,1085,23100,13.6736
DQN (ours),52,1086,23128,22.7793
DQN (ours),52,1087,23128,23.7820
DQN (ours),52,1088,23156,22.4611
DQN (ours),52,1089,23184,22.2292
DQN (ours),52,1090,23212,21.1228
DQN (ours),52,1091,23268,22.1533
DQN (ours),52,1092,23352,21.6023
DQN (ours),52,1093,23366,14.8971
DQN (ours),52,1094,23380,20.9274
DQN (ours),52,1095,23408,23.5544
DQN (ours),52,1096,23422,21.9169
DQN (ours),52,1097,23436,21.5723
DQN (ours),52,1098,23478,22.3432
DQN (ours),52,1099,23520,19.5129
DQN (ours),52,1100,23520,21.5185
DQN (ours),52,1101,23534,6.5935
DQN (ours),52,1102,23548,24.3320
DQN (ours),52,1103,23548,21.4280
DQN (ours),52,1104,23576,22.0200
DQN (ours),52,1105,23618,20.6436
DQN (ours),52,1106,23660,8.9572
DQN (ours),52,1107,23688,21.3515
DQN (ours),52,1108,23772,21.3595
DQN (ours),52,1109,23786,21.5636
DQN (ours),52,1110,23800,21.6026
DQN (ours),52,1111,23800,19.8762
DQN (ours),52,1112,23842,17.1224
DQN (ours),52,1113,23856,23.9294
DQN (ours),52,1114,23898,21.5151
DQN (ours),52,1115,23940,21.4829
DQN (ours),52,1116,23954,24.4079
DQN (ours),52,1117,23968,22.0848
DQN (ours),52,1118,23982,1.6001
DQN (ours),52,1119,23996,10.1123
DQN (ours),52,1120,23996,21.6045
DQN (ours),52,1121,24038,21.1305
DQN (ours),52,1122,24080,3.7366
DQN (ours),52,1123,24080,21.5187
DQN (ours),52,1124,24108,21.9139
DQN (ours),52,1125,24192,21.6780
DQN (ours),52,1126,24206,21.7614
DQN (ours),52,1127,24220,23.4289
DQN (ours),52,1128,24220,21.7739
DQN (ours),52,1129,24276,21.6186
DQN (ours),52,1130,24318,20.9062
DQN (ours),52,1131,24374,22.0910
DQN (ours),52,1132,24388,22.2021
DQN (ours),52,1133,24402,17.4819
DQN (ours),52,1134,24402,21.1420
DQN (ours),52,1135,24416,21.0253
DQN (ours),52,1136,24500,21.7576
DQN (ours),52,1137,24500,21.0071
DQN (ours),52,1138,24528,20.9987
DQN (ours),52,1139,24612,22.2509
DQN (ours),52,1140,24626,22.0257
DQN (ours),52,1141,24640,21.4161
DQN (ours),52,1142,24640,22.3924
DQN (ours),52,1143,24696,21.6024
DQN (ours),52,1144,24738,21.3238
DQN (ours),52,1145,24794,20.9391
DQN (ours),52,1146,24808,21.4182
DQN (ours),52,1147,24822,21.0081
DQN (ours),52,1148,24822,3.8819
DQN (ours),52,1149,24822,21.3753
DQN (ours),52,1150,24836,21.0498
DQN (ours),52,1151,24920,21.3380
DQN (ours),52,1152,24920,21.9191
DQN (ours),52,1153,24948,20.9751
